X,Y,Z,IDS,KRIG,90-71,90-
4500,5700,3050,0.52,0.52,0.354,0.221928
4450,4950,3025,0.53,0.49,0.593,0.638047
4500,4950,3025,0.53,0.6,0.615,0.624055
4550,4950,3025,0.43,0.5,0.743,0.606004
4600,4950,3025,0.32,0.39,0.447,0.475312
4650,4950,3025,0.25,0.23,0.261,0.315304
4700,4950,3025,0.16,0.21,0.167,0.200335
4750,4950,3025,0.09,0.12,0.108,0.129861
4450,5000,3025,0.58,0.64,0.621,0.632555
4500,5000,3025,0.81,0.71,0.652,0.627151
4550,5000,3025,0.82,0.77,0.985,0.685908
4600,5000,3025,0.65,0.74,0.640,0.565137
4650,5000,3025,0.47,0.45,0.357,0.376697
4700,5000,3025,0.24,0.22,0.210,0.245641
4750,5000,3025,0.09,0.12,0.131,0.163318
4450,5050,3025,0.78,0.72,0.644,0.625521
4500,5050,3025,1.01,0.91,0.674,0.622505
4550,5050,3025,1.02,1.02,1.164,0.770158
4600,5050,3025,0.78,0.77,0.866,0.67256
4650,5050,3025,0.51,0.51,0.489,0.457073
4700,5050,3025,0.34,0.31,0.270,0.305286
4750,5050,3025,0.15,0.2,0.160,0.205317
4450,5100,3025,0.59,0.64,0.664,0.606456
4500,5100,3025,0.99,0.96,0.703,0.625858
4550,5100,3025,1.14,1.12,1.275,0.849253
4600,5100,3025,0.93,1.01,1.097,0.82531
4650,5100,3025,0.56,0.53,0.615,0.57148
4700,5100,3025,0.36,0.38,0.351,0.383283
4750,5100,3025,0.25,0.27,0.212,0.257933
4450,5150,3025,0.37,0.55,0.674,0.591471
4500,5150,3025,0.42,0.67,0.720,0.639737
4550,5150,3025,1.51,1.32,1.293,0.959656
4600,5150,3025,1.22,1.09,1.313,1.016613
4650,5150,3025,0.65,0.59,0.742,0.720048
4700,5150,3025,0.31,0.35,0.455,0.484733
4750,5150,3025,0.25,0.26,0.295,0.317462
4450,5200,3025,0.32,0.34,0.686,0.588561
4500,5200,3025,0.64,0.67,0.730,0.68751
4550,5200,3025,1.26,1.15,1.249,1.064542
4600,5200,3025,1.2,1.13,1.533,1.243536
4650,5200,3025,0.73,0.77,0.908,0.898261
4700,5200,3025,0.46,0.54,0.600,0.591364
4750,5200,3025,0.47,0.63,0.404,0.383246
4450,5250,3025,0.29,0.32,0.670,0.573786
4500,5250,3025,0.38,0.42,0.736,0.755308
4550,5250,3025,0.93,0.95,1.198,1.182361
4600,5250,3025,1.29,1.28,1.695,1.455475
4650,5250,3025,0.93,1,1.185,1.071808
4700,5250,3025,1.14,1.11,0.783,0.708739
4750,5250,3025,1.21,1.07,0.506,0.438073
4450,5300,3025,0.32,0.36,0.605,0.523842
4500,5300,3025,0.4,0.46,0.751,0.811443
4550,5300,3025,0.95,0.93,1.186,1.263823
4600,5300,3025,1.56,1.58,1.885,1.627309
4650,5300,3025,1.54,1.58,1.488,1.239052
4700,5300,3025,1.3,1.4,0.966,0.817217
