X,Y,Z,IDS,KRIG,LOGKRIG,ANN
4650,5050,3025,0.51,0.51,0.6,0.93
4700,5050,3025,0.34,0.31,0.31,0.67
4750,5050,3025,0.15,0.2,0.17,0.46
4450,5100,3025,0.59,0.64,0.7,0.68
4500,5100,3025,0.99,0.96,0.98,1.12
4550,5100,3025,1.14,1.12,1.46,1.51
4600,5100,3025,0.93,1.01,1.24,1.46
4650,5100,3025,0.56,0.53,0.68,1.13
4700,5100,3025,0.36,0.38,0.45,0.8
4750,5100,3025,0.25,0.27,0.24,0.54
4450,5150,3025,0.37,0.55,0.48,0.69
4500,5150,3025,0.42,0.67,0.66,1.17
4550,5150,3025,1.51,1.32,1.39,1.69
4600,5150,3025,1.22,1.09,1.36,1.72
4650,5150,3025,0.65,0.59,0.68,1.34
4700,5150,3025,0.31,0.35,0.4,0.94
4750,5150,3025,0.25,0.26,0.25,0.63
4450,5200,3025,0.32,0.34,0.39,0.7
4500,5200,3025,0.64,0.67,0.67,1.2
4550,5200,3025,1.26,1.15,1.43,1.84
4600,5200,3025,1.2,1.13,1.36,1.97
4650,5200,3025,0.73,0.77,1,1.55
4700,5200,3025,0.46,0.54,0.52,1.06
4750,5200,3025,0.47,0.63,0.48,0.69
4450,5250,3025,0.29,0.32,0.34,0.7
4500,5250,3025,0.38,0.42,0.42,1.22
4550,5250,3025,0.93,0.95,1.11,1.95
4600,5250,3025,1.29,1.28,1.53,2.18
4650,5250,3025,0.93,1,1.24,1.72
4700,5250,3025,1.14,1.11,1.28,1.16
4750,5250,3025,1.21,1.07,1.16,0.73
4450,5300,3025,0.32,0.36,0.35,0.7
4500,5300,3025,0.4,0.46,0.48,1.23
4550,5300,3025,0.95,0.93,1.07,2
4600,5300,3025,1.56,1.58,1.95,2.32
4650,5300,3025,1.54,1.58,1.91,1.83
4700,5300,3025,1.3,1.4,1.67,1.2
4750,5300,3025,1.23,1.06,0.99,0.74
4800,5300,3025,0.88,0.77,0.7,0.45
4450,5350,3025,0.41,0.42,0.49,0.69
4500,5350,3025,0.52,0.58,0.68,1.21
4550,5350,3025,1.01,1.09,1.29,1.99
4600,5350,3025,1.83,1.78,2.05,2.35
4650,5350,3025,2.08,2.04,2.21,1.86
4700,5350,3025,1.49,1.39,1.55,1.18
4750,5350,3025,0.5,0.63,0.63,0.71
4800,5350,3025,0.38,0.45,0.45,0.42
4450,5400,3025,0.33,0.42,0.47,0.67
4500,5400,3025,0.57,0.72,0.71,1.16
4550,5400,3025,1.4,1.41,1.72,1.88
4600,5400,3025,1.88,1.95,2.09,2.26
4650,5400,3025,1.06,1.22,1.5,1.78
4700,5400,3025,1.2,1.16,1.34,1.1
4750,5400,3025,0.37,0.59,0.64,0.64
4800,5400,3025,0.42,0.46,0.38,0.37
4450,5450,3025,0.6,0.62,0.67,0.62
4500,5450,3025,0.9,0.83,0.89,1.06
