X,Y,Z,% Cu,,,,,,,,
4565.44,5580.69,2896.42,-1.173766962,,,,,,,,
4565.44,5580.69,2896.42,-1.173766962,,,,,,,,
4565.44,5580.69,2896.42,-1.173766962,,,,,,,,
4565.44,5580.69,2896.42,-1.173766962,,,,,,,,
4565.44,5580.69,2896.42,-1.173766962,,,,,,,,
4565.44,5580.69,2896.42,-1.173766962,,,,,,,,
4463.45,5463,2975.41,-1.012801632,,,,,,,,
4485.65,5163.61,3112.96,-1.38309947,,,,,,,,
4645.59,5523.69,2923.97,-0.095190187,,,,,,,,
4570,5184,2793.5,-0.349557476,,,,,,,,
4712.18,5342.85,3069.15,-0.831949583,,,,,,,,
4530.09,5580.07,2861.06,-0.417487083,,,,,,,,
4335,5336,3107.5,-1.731605546,,,,,,,,
4533.62,4901.15,3088.85,-0.410678675,,,,,,,,
4724.53,5582.86,2971.44,-1.371997056,,,,,,,,
4583.36,5582.12,2829.77,-0.729811165,,,,,,,,
4490.12,5344.61,2996.73,-1.314531995,,,,,,,,
4557.37,5460.94,3027.59,0.578858034,,,,,,,,
4557.37,5460.94,3027.59,0.578858034,,,,,,,,
4557.37,5460.94,3027.59,0.578858034,,,,,,,,
4557.37,5460.94,3027.59,0.578858034,,,,,,,,
4557.37,5460.94,3027.59,0.578858034,,,,,,,,
4575.93,5459.19,2954.3,0.050312814,,,,,,,,
4540.23,5643.78,2810.8,-0.877550904,,,,,,,,
4396.09,5522.65,2931.68,-4.199705078,,,,,,,,
4396.09,5522.65,2931.68,-4.199705078,,,,,,,,
4396.09,5522.65,2931.68,-4.199705078,,,,,,,,
4396.09,5522.65,2931.68,-4.199705078,,,,,,,,
4396.09,5522.65,2931.68,-4.199705078,,,,,,,,
4396.09,5522.65,2931.68,-4.199705078,,,,,,,,
4396.09,5522.65,2931.68,-4.199705078,,,,,,,,
4396.09,5522.65,2931.68,-4.199705078,,,,,,,,
4396.09,5522.65,2931.68,-4.199705078,,,,,,,,
4396.09,5522.65,2931.68,-4.199705078,,,,,,,,
4396.09,5522.65,2931.68,-4.199705078,,,,,,,,
4396.09,5522.65,2931.68,-4.199705078,,,,,,,,
4396.09,5522.65,2931.68,-4.199705078,,,,,,,,
4396.09,5522.65,2931.68,-4.199705078,,,,,,,,
4396.09,5522.65,2931.68,-4.199705078,,,,,,,,
4396.09,5522.65,2931.68,-4.199705078,,,,,,,,
4396.09,5522.65,2931.68,-4.199705078,,,,,,,,
4396.09,5522.65,2931.68,-4.199705078,,,,,,,,
4396.09,5522.65,2931.68,-4.199705078,,,,,,,,
4396.09,5522.65,2931.68,-4.199705078,,,,,,,,
4396.09,5522.65,2931.68,-4.199705078,,,,,,,,
4396.09,5522.65,2931.68,-4.199705078,,,,,,,,
